date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:11:59	448/448	---M--	200	added ('OK')	text/plain	date:Sat,%2009%20Dec%202023%2011:41:59%20GMT	https://cfo268.wixsite.com/robots.txt		(from )
17:12:04	2114502/2114502	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Dec%202023%2011:41:58%20GMT	https://cfo268.wixsite.com/my-site-19	C:/My%20Web%20Sites/project%20aaroha/cfo268.wixsite.com/my-site-19.html	(from )
17:12:06	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/project%20aaroha/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://cfo268.wixsite.com/my-site-19)
17:12:06	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/project%20aaroha/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://cfo268.wixsite.com/my-site-19)
17:12:07	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2009%20Dec%202023%2011:42:07%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/project%20aaroha/polyfill.io/v3/polyfill.mind82c.js	(from https://cfo268.wixsite.com/my-site-19)
17:12:08	634/634	---M--	200	added ('OK')	text/xml	date:Sat,%2009%20Dec%202023%2011:42:08%20GMT	https://cfo268.wixsite.com/my-site-19/blog-feed.xml	C:/My%20Web%20Sites/project%20aaroha/cfo268.wixsite.com/my-site-19/blog-feed.xml	(from https://cfo268.wixsite.com/my-site-19)
17:12:11	2999/2999	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Dec%202023%2011:42:10%20GMT	https://cfo268.wixsite.com/	C:/My%20Web%20Sites/project%20aaroha/cfo268.wixsite.com/index.html	(from https://cfo268.wixsite.com/my-site-19)
17:12:16	930778/930778	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Dec%202023%2011:42:13%20GMT	https://cfo268.wixsite.com/my-site-19/memberships	C:/My%20Web%20Sites/project%20aaroha/cfo268.wixsite.com/my-site-19/memberships.html	(from https://cfo268.wixsite.com/my-site-19)
17:12:16	3241/3241	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Dec%202023%2011:42:15%20GMT	https://static.wixstatic.com/media/c837a6_470529e9efbe4ad4ad20de88cdd3d313f000.jpg/v1/fill/w_147,h_83,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/c837a6_470529e9efbe4ad4ad20de88cdd3d313f000.jpg	C:/My%20Web%20Sites/project%20aaroha/static.wixstatic.com/media/c837a6_470529e9efbe4ad4ad20de88cdd3d313f000.jpg/v1/fill/w_147,h_83,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/c837a6_470529e9efbe4ad4ad20de88cdd3d313f000.jpg	(from https://cfo268.wixsite.com/my-site-19)
17:12:17	3070/3070	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Dec%202023%2011:42:17%20GMT	https://static.wixstatic.com/media/c837a6_f4b7131cdf74496bb977f86a6d2ddad2~mv2.jpg/v1/crop/x_1599,y_1082,w_1516,h_2622/fill/w_109,h_189,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/shutterstock_315693245-edit.jpg	C:/My%20Web%20Sites/project%20aaroha/static.wixstatic.com/media/c837a6_f4b7131cdf74496bb977f86a6d2ddad2_mv2.jpg/v1/crop/x_1599,y_1082,w_1516,h_2622/fill/w_109,h_189,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/shutterstock_315693245-edit.jpg	(from https://cfo268.wixsite.com/my-site-19)
17:12:18	20821/20821	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Dec%202023%2011:42:17%20GMT	https://static.wixstatic.com/media/c837a6_5ad7cc8ca9614761ae321d96b2fa20a4~mv2.jpg/v1/crop/x_74,y_0,w_2365,h_1413/fill/w_534,h_311,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/Screen%20Shot%202021-02-16%20at%2012_23_23-edit_.jpg	C:/My%20Web%20Sites/project%20aaroha/static.wixstatic.com/media/c837a6_5ad7cc8ca9614761ae321d96b2fa20a4_mv2.jpg/v1/crop/x_74,y_0,w_2365,h_1413/fill/w_534,h_311,al_c,q_80,usm_0.66_1.00_0.01,enc_au/Screen%20Shot%202021-02-16%20at%2012_23_23-edit_.8.del	(from https://cfo268.wixsite.com/my-site-19)
17:12:20	1172144/1172144	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Dec%202023%2011:42:13%20GMT	https://cfo268.wixsite.com/my-site-19/cart-page	C:/My%20Web%20Sites/project%20aaroha/cfo268.wixsite.com/my-site-19/cart-page.html	(from https://cfo268.wixsite.com/my-site-19)
17:12:22	839752/839752	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Dec%202023%2011:42:18%20GMT	https://cfo268.wixsite.com/my-site-19/our-approach	C:/My%20Web%20Sites/project%20aaroha/cfo268.wixsite.com/my-site-19/our-approach.html	(from https://cfo268.wixsite.com/my-site-19)
17:12:22	2308/2308	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Dec%202023%2011:42:20%20GMT	https://static.wixstatic.com/media/c837a6_ca3acf50e83e4cd78534cc34b8339ae3~mv2.png/v1/fill/w_49,h_22,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/c837a6_ca3acf50e83e4cd78534cc34b8339ae3~mv2.png	C:/My%20Web%20Sites/project%20aaroha/static.wixstatic.com/media/c837a6_ca3acf50e83e4cd78534cc34b8339ae3_mv2.png/v1/fill/w_49,h_22,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/c837a6_ca3acf50e83e4cd78534cc34b8339ae3_mv2.png	(from https://cfo268.wixsite.com/my-site-19)
17:12:23	2999/2999	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Dec%202023%2011:42:23%20GMT	https://cfo268.wixsite.com/%22https://images-vod.wixmp.com/c837a6d8-f31f-4e14-9740-9122ecf7eb53/images/7b29db552ef6467d8af3aae4f2a2c86c~mv2/v1/fill/w_320,h_180,q_85,usm_0.66_1.00_0.01,enc_auto/file.jpg%22	C:/My%20Web%20Sites/project%20aaroha/cfo268.wixsite.com/_https_/images-vod.wixmp.com/c837a6d8-f31f-4e14-9740-9122ecf7eb53/images/7b29db552ef6467d8af3aae4f2a2c86c_mv2/v1/fill/w_320,h_180,q_85,usm_0.66_1.00_0.01,enc_auto/file.c.delayed	(from https://cfo268.wixsite.com/my-site-19)
17:12:26	2999/2999	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Dec%202023%2011:42:24%20GMT	https://cfo268.wixsite.com/%22https://images-vod.wixmp.com/c837a6d8-f31f-4e14-9740-9122ecf7eb53/images/e14ed8631a704c1e893f2d6c5bda2446~mv2/v1/fill/w_320,h_180,q_85,usm_0.66_1.00_0.01,enc_auto/file.jpg%22	C:/My%20Web%20Sites/project%20aaroha/cfo268.wixsite.com/_https_/images-vod.wixmp.com/c837a6d8-f31f-4e14-9740-9122ecf7eb53/images/e14ed8631a704c1e893f2d6c5bda2446_mv2/v1/fill/w_320,h_180,q_85,usm_0.66_1.00_0.01,enc_auto/file.d.delayed	(from https://cfo268.wixsite.com/my-site-19)
17:12:34	2999/2999	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Dec%202023%2011:42:34%20GMT	https://cfo268.wixsite.com/%22https://images-vod.wixmp.com/c837a6d8-f31f-4e14-9740-9122ecf7eb53/images/012245021de948278f93179654f9652b~mv2/v1/fill/w_320,h_180,q_85,usm_0.66_1.00_0.01,enc_auto/file.jpg%22	C:/My%20Web%20Sites/project%20aaroha/cfo268.wixsite.com/_https_/images-vod.wixmp.com/c837a6d8-f31f-4e14-9740-9122ecf7eb53/images/012245021de948278f93179654f9652b_mv2/v1/fill/w_320,h_180,q_85,usm_0.66_1.00_0.01,enc_auto/file.f.delayed	(from https://cfo268.wixsite.com/my-site-19)
17:12:35	2188/2188	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Dec%202023%2011:42:35%20GMT	https://static.wixstatic.com/media/c837a6_a7fb77c2dc024944b9f4de6055601ecf~mv2.png/v1/fill/w_49,h_18,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/c837a6_a7fb77c2dc024944b9f4de6055601ecf~mv2.png	C:/My%20Web%20Sites/project%20aaroha/static.wixstatic.com/media/c837a6_a7fb77c2dc024944b9f4de6055601ecf_mv2.png/v1/fill/w_49,h_18,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/c837a6_a7fb77c2dc024944b9f4de6055601ecf_mv2.png	(from https://cfo268.wixsite.com/my-site-19)
17:12:36	3820/3820	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Dec%202023%2011:42:36%20GMT	https://static.wixstatic.com/media/c837a6_6220996a81aa44b6a27ae6eaafeeb997~mv2.jpg/v1/fill/w_179,h_179,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/shutterstock_721917490-cropped.jpg	C:/My%20Web%20Sites/project%20aaroha/static.wixstatic.com/media/c837a6_6220996a81aa44b6a27ae6eaafeeb997_mv2.jpg/v1/fill/w_179,h_179,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/shutterstock_721917490-cropped.jpg	(from https://cfo268.wixsite.com/my-site-19)
